2023-06-01		12:20:16	b4b4f899-17c4-4a56-a96b-5813f96d86cd	 GET	undefined	/ 
2023-06-01		12:20:16	cded42d2-a3c9-4bba-99a8-40792d8d0cff	 GET	undefined	/css/style.css 
2023-06-01		12:21:21	77708041-08eb-4f8f-b472-a994f8301934	 GET	undefined	/ppp 
2023-06-01		12:31:22	0b25257f-ec90-4f70-9240-7320c9ab5c11	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:31:22	3e4a1dc3-d150-42ad-a510-c88a3c00463e	 GET	https://www.google.com	/ 
2023-06-01		12:41:24	ce52826d-3d04-4fcb-81ea-294edacf01ee	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:41:24	00091405-144f-4ab1-88ae-68ff5cc4abec	 GET	https://www.google.com	/ 
2023-06-01		12:46:10	ae7fa705-1e51-46ba-b65b-c7aa3236f7fa	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:46:10	ccaa7f5e-fd9d-4a6d-a288-4210913a68d7	 GET	https://www.google.com	/ 
2023-06-01		12:55:39	3ee6ebc8-fe27-4edc-8631-858c9c883e50	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:55:39	18b852b8-7956-4370-9ec9-3b882be6d83f	 GET	https://www.google.com	/ 
2023-06-01		13:02:51	bac35805-5c62-47ae-8a31-77cceb7deb3d	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:02:51	e18f6a48-53ae-47f9-9bfa-d3ec2fd9d9cf	 GET	https://www.google.com	/ 
2023-06-01		13:05:12	c373010e-7f8e-4eb7-ab21-11224ebe6b65	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:05:12	62b36115-b4ff-43ef-9923-19508e284bfd	 GET	https://www.google.com	/ 
2023-06-01		13:08:50	46a37715-181e-4bc4-b56e-160992248d74	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:08:50	7169e94b-2710-4c8e-b3d1-8091ba741495	 GET	https://www.google.com	/ 
2023-06-01		13:10:39	7b969f67-6942-4a0a-a071-1c407370a792	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:10:39	541c9bf8-0d1b-4c41-813d-672af50f0c1d	 GET	https://www.google.com	/ 
2023-06-01		13:13:31	7c84c12c-a867-4ab1-a32e-77822be8c891	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:13:31	58394ae7-4319-48e5-b0e0-4f7cd9c60072	 GET	https://www.google.com	/ 
2023-06-01		13:17:13	103238e8-4c2b-4df0-a3ee-12faa86248ec	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:17:13	dabeb689-a7fb-4538-8a4b-9f566df32f73	 GET	https://www.google.com	/ 
2023-06-01		14:18:06	71cf5141-0fab-49b8-b06c-33bb47adc594	 GET	undefined	/ppp 
2023-06-01		14:18:06	6af3b36b-8532-4677-bc94-dcaafc093a38	 GET	undefined	/favicon.ico 
2023-06-01		14:39:02	1eabe9de-a968-4ab2-886f-448714bfc7bf	 GET	undefined	/ 
2023-06-01		14:39:02	763e5065-516b-4cbc-b0bb-f3ec3a1fa1e7	 GET	undefined	/css/style.css 
2023-06-01		14:48:27	44513ab3-ecbf-4199-b0e1-66b2023942c3	 GET	undefined	/ 
2023-06-01		14:48:27	eecb01ff-2385-4c42-94ba-8d9585fb4fc2	 GET	undefined	/css/style.css 
